origin;destination;waypointsLong;waypointsLat
1;2;8.50626421368691 8.507102893575913;47.406901196305604 47.40858410728646
2;1;8.507102893575913 8.5077344 8.5061207 8.50626421368691;47.40858410728646 47.4077037 47.4071219 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;2;8.50626421368691 8.506115300000001 8.506183 8.506362900000001 8.5066435 8.506513 8.506521099999999 8.507102893575913;47.406901196305604 47.407807 47.4080738 47.40815739999999 47.40814 47.4088093 47.4086695 47.40858410728646
2;1;8.507102893575913 8.507831900000001 8.5068603 8.506015 8.50626421368691;47.40858410728646 47.4082814 47.4084361 47.4069211 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;2;8.50626421368691 8.507102893575913;47.406901196305604 47.40858410728646
2;2;8.507102893575913 8.5070713 8.5071081 8.507102893575913;47.40858410728646 47.4084797 47.408460299999994 47.40858410728646
2;1;8.507102893575913 8.5063653 8.505981599999998 8.50626421368691;47.40858410728646 47.4073399 47.406932 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
1;2;8.50626421368691 8.5218755 8.524382300000001 8.5270919 8.5291538 8.5312542 8.532056599999999 8.5321356 8.5326522 8.5335338 8.5343961 8.5430448 8.5483534 8.5482321 8.5455129 8.545304699999999 8.5447348 8.5442058 8.544012400000002 8.5440086 8.543904699999999 8.5436942 8.5434368 8.507102893575913;47.406901196305604 47.399086499999996 47.3987801 47.39833839999999 47.3978245 47.3979528 47.398030299999995 47.3980433 47.397813299999996 47.3975987 47.3962545 47.3843848 47.3768129 47.3764836 47.3783867 47.3788214 47.3793722 47.379774 47.3800681 47.380054799999996 47.38042670000001 47.3815842 47.3829343 47.40858410728646
2;1;8.507102893575913 8.50626421368691;47.40858410728646 47.406901196305604
1;1;8.50626421368691 8.50626421368691;47.406901196305604 47.406901196305604
