,name,dist,distPerc,co2km,co2Total,co2Perc
3,by Train,198.548,0.692,0.065,12.90562,0.6923
0,by Bus,68.104,0.2374,0.069,4.6991760000000005,0.2521
2,by Car,4.839,0.0169,0.133,0.6435870000000001,0.0345
4,by Tram,9.332,0.0325,0.042,0.39194400000000007,0.021
1,Walking,4.696,0.0164,0.0,0.0,0.0
5,by Bike,1.413,0.0049,0.0,0.0,0.0
