origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
1;2;46;8.506264213686908 8.506260306570084 8.50623711851452 8.506245961695239 8.506270865241564 8.506288515241563 8.50696032098031 8.506990105762918 8.507049377502044 8.507062318806392 8.507055590545525 8.507114897844636 8.507146567270201 8.507147497704985 8.507145460748463 8.507146504226725 8.507145730313681 8.507145682487593 8.507145934661507 8.50714695205281 8.507146969444115 8.507146610748464 8.507145502052811 8.507145321618028 8.507099776603571 8.50710600037696 8.507102893575915;47.406901196305604 47.40690126168362 47.40696684517577 47.40696764308217 47.40714004171139 47.407143693885295 47.4082169815873 47.40823984897861 47.40828040115252 47.40830473810905 47.40831680550034 47.40854088969304 47.40857555941668 47.40857653115581 47.40857876159059 47.408580298547115 47.40858030506886 47.40857676811233 47.40857774202538 47.40857828115581 47.40857869202538 47.40857952463408 47.40858588332973 47.408585626807984 47.40858461550692 47.40859595044793 47.408584107286465;47.4155093590647 47.4178135277831;8.50044058665534 8.50250649174722
1;3;4;8.50626421368691 8.506397453421728 8.506445453421728 8.506492003421728 8.506716153421728 8.506755903421727 8.506779278421728 8.506854753421727 8.506896203421729 8.506860978421727 8.506829478421729 8.506832103421727 8.506836003421729 8.506837153421728 8.506852478421727 8.506852778421727 8.506862628421729 8.506874678421728 8.506879103421728 8.506880303421728 8.506880803421726 8.506881378421728 8.506879403421728 8.506880653421728 8.506303928421728 8.505946753421728 8.5056477 8.506002425 8.5059988 8.506229300000001 8.5069646 8.507360025 8.508617050000002 8.5094548 8.510692925 8.511805325000001 8.512371375 8.512715275000001 8.515244200000001 8.515781400000002 8.547943959833916 8.547986119667833 8.547956744667832 8.547956169667833 8.548009944667832 8.548121269667833 8.548164769667833 8.548178369667834 8.548187644667832 8.548188719667833 8.548201794667833 8.548259294667833 8.548032019667833 8.548221029501747 8.548221529501749 8.548214139335665;47.406901196305604 47.40712969907641 47.4071898490764 47.4072329490764 47.4074810240764 47.4075360490764 47.4075952740764 47.4076134740764 47.4076559740764 47.4077122990764 47.4077624990764 47.4077548490764 47.407754399076396 47.407753949076394 47.407737774076395 47.407736574076395 47.4077301490764 47.407722574076395 47.407722224076394 47.4077224990764 47.407722674076396 47.4077236990764 47.4077233240764 47.4077235240764 47.4067972740764 47.4063441240764 47.405245300000004 47.4040025 47.404009224999996 47.403768125 47.4029965 47.402641825 47.401510825 47.400740325 47.400343875000004 47.400492400000005 47.400596125 47.400636075 47.40046885 47.4002878 47.37686042263986 47.37708502027972 47.37723197027972 47.37725884527973 47.377384920279724 47.377807745279725 47.37772812027973 47.37762947027973 47.37760867027973 47.377552945279724 47.37750474527972 47.377483295279724 47.37727939527973 47.37730296791959 47.37730441791959 47.37741719055945;47.4155093590647 47.409032500021 47.4088574854973 47.4086847292167 47.4085145159727 47.4083471263669 47.4081828363458 47.4080219167461 47.4078646328483 47.4077112439396 47.4075620028858 47.4074171557151 47.4072769412121 47.4071415905246 47.4070113267819 47.4068863647276 47.4067669103652 47.4066531606185 47.4065453030073 47.4064435153379 47.4063479654103 47.4062588107411 47.4061761983045 47.4061002642893 47.4060311338749 47.4059689210249 47.4059137282988 47.4058656466835 47.4058247554428 47.4057911219872 47.4057648017623 47.4057458381578 47.4052223425338 47.4052093992812 47.4051926201611 47.4051720195768 47.4051476152123 47.4051194280165 47.4050874821856 47.4050518051424 47.4050124275125 47.4049693830982 47.4049227088492 47.4048724448315 47.4048186341923 47.4047613231232 47.4047005608209 47.4046363994445 47.4045688940709 47.4044981026476 47.4044240859429 47.4043469074936 47.4042666335507 47.4041833330223 47.4040970774148 47.4040079407709 47.4039159996068 47.4038213328459 47.4037240217513 47.4036241498562 47.4035218028918 47.403417068714 47.4033100372281 47.3756689938494;8.50044058665534 8.50307048113511 8.50314718992754 8.50323430038495 8.50333166890328 8.50343913496774 8.50355652141745 8.50368363473753 8.50382026537802 8.50396618809942 8.50412116234397 8.5042849326322 8.50445722898413 8.50463776736431 8.50482625015006 8.50502236662215 8.50522579347697 8.50543619535956 8.50565322541641 8.50587652586728 8.50610572859503 8.5063404557524 8.506580320385 8.50682492706913 8.5070738725637 8.50732674647497 8.50758313193309 8.5078426062793 8.50810474176277 8.50836910624566 8.50863526391559 8.50890277600405 8.51808969953816 8.51828284506742 8.51847534917718 8.51866704661946 8.51885777283874 8.51904736411322 8.51923565769533 8.51942249195147 8.51960770650075 8.51979114235263 8.51997264204346 8.5201520497716 8.52032921153117 8.52050397524427 8.52067619089151 8.52084571064078 8.52101238897418 8.52117608281292 8.52133665164012 8.52149395762146 8.52164786572348 8.52179824382953 8.52194496285312 8.52208789684878 8.52222692312015 8.52236192232531 8.52249277857923 8.52261937955325 8.52274161657147 8.52285938470409 8.52297258285745 8.55131146893398
2;3;1;8.507102893575913 8.5245716 8.527273699999999 8.5297052 8.531859800000001 8.5325773 8.533569900000002 8.534691699999998 8.536367199999999 8.537445800000002 8.5482285 8.548364300000001 8.548433099999999 8.548214139335665;47.40858410728646 47.398709000000004 47.3982302 47.3977402 47.39796679999999 47.3978445 47.3974196 47.3960098 47.3948832 47.393564399999995 47.376574700000006 47.37673710000001 47.3769516 47.37741719055945;47.4178135277831 47.4004077424631 47.4003808899883 47.4003543997263 47.4003282743266 47.4003025164026 47.4002771285306 47.40025211325 47.400227473063 47.4002032104343 47.4001793277906 47.4001558275208 47.4001327119755 47.4001099834669 47.4000876442684 47.4000656966144 47.4000441427003 47.4000229846819 47.4000022246756 47.3999818647579 47.3999619069653 47.3999423532941 47.3999232057 47.3999044660985 47.3998861363637 47.3998682183293 47.3998507137874 47.3998336244889 47.3998169521432 47.399800698418 47.3997848649389 47.3997694532897 47.3983216492613 47.3982613965039 47.3981952214962 47.3981232181655 47.398045488712 47.3979621434633 47.3978733007179 47.3977790865775 47.3976796347676 47.3975750864482 47.3974655900131 47.3973513008793 47.3972323812664 47.3971089999665 47.3969813321046 47.3968495588899 47.3967138673586 47.3965744501085 47.3964315050256 47.3962852350033 47.3961358476543 47.3959835550161 47.3958285732496 47.3956711223329 47.3955114257486 47.3953497101668 47.3951862051234 47.395021142694 47.3948547571651 47.3946872847008 47.3945189630082 47.3756689938494;8.50250649174722 8.53660901673797 8.53666216078427 8.53671569770735 8.53676962215221 8.53682392872506 8.53687861199392 8.53693366648911 8.53698908670382 8.53704486709467 8.53710100208225 8.53715748605167 8.53721431335314 8.53727147830254 8.53732897518196 8.5373867982403 8.53744494169383 8.53750339972676 8.53756216649186 8.537621236111 8.53768060267577 8.53774026024804 8.5378002028606 8.53786042451769 8.53792091919568 8.5379816808436 8.53804270338379 8.5381039807125 8.53816550670048 8.53822727519362 8.53828928001355 8.53835151495825 8.54429027962662 8.54452350149215 8.54475321528093 8.54497909494185 8.54520081986589 8.54541807534118 8.54563055299968 8.54583795125491 8.54603997572996 8.54623633967539 8.54642676437618 8.54661097954736 8.54678872371764 8.54695974460054 8.54712379945247 8.54728065541729 8.54743008985683 8.54757189066684 8.54770585657814 8.54783179744222 8.54794953450115 8.54805890064135 8.54815974063071 8.548251911339 8.54833528194098 8.54840973410209 8.54847516214646 8.54853147320683 8.54857858735642 8.54861643772236 8.54864497058062 8.55131146893398
1;4;1;8.50626421368691 8.471526010650136;47.406901196305604 47.38735598142;47.4155093590647 47.3859411692808;8.50044058665534 8.46579904123083
