group,1,2,3,4
0,71.0,0.0,0.0,34.0
1,71.0,0.0,0.0,34.0
2,71.0,0.0,0.0,34.0
3,71.0,0.0,0.0,34.0
4,71.0,0.0,0.0,34.0
5,71.0,0.0,0.0,32.75666666666667
6,71.0,0.0,0.0,34.0
7,70.41083333333333,0.04777777777777778,0.0,34.0
8,63.71611111111111,3.0661111111111112,0.0,34.0
9,56.761944444444445,6.195,0.0,34.0
10,55.096666666666664,7.896111111111111,0.0,34.0
11,58.32861111111111,5.963333333333333,0.06055555555555556,34.0
12,60.918055555555554,4.224722222222222,2.7422222222222223,34.0
13,57.761944444444445,6.089444444444444,3.0,34.0
14,54.988055555555555,9.795555555555556,3.0,34.0
15,53.676944444444445,11.0525,3.0,34.0
16,54.01583333333333,10.85361111111111,1.9872222222222222,34.53333333333333
17,59.71722222222222,5.075,1.0,35.0
18,62.35,4.619166666666667,0.8827777777777778,35.0
19,63.556666666666665,2.3986111111111112,0.0,35.0
20,65.64472222222223,1.2880555555555555,0.0,34.43361111111111
21,66.0,1.0,0.0,34.0
22,66.3575,1.0,0.0,34.0
23,70.53666666666666,0.3283333333333333,0.0,34.0
