origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
1;2;1;7.078784450714286 7.8808905 8.625726 8.6252421 8.625292199999999 8.62566198409091;46.10734969119047 46.2939689 47.4387222 47.4412576 47.439765799999996 47.438623920454546;45.6917690901598 45.8722184257989 45.8736299013065 45.8751931267868 45.8769067294041 45.8787692042605 45.8807789157173 45.8829340988318 45.8852328609068 45.8876731831533 45.8902529224631 45.8929698132907 45.8958214696434 45.8988053871766 45.9019189453926 45.9051594099426 45.9085239350277 45.9120095658983 45.9156132414485 45.919331796905 45.9231619666062 45.9271003868699 45.9311435989476 45.9352880520617 45.9395301065243 45.9438660369331 45.9482920354434 45.9528042151119 45.9573986133106 45.9620711952064 45.9668178573049 45.9716344310538 47.6349158641321;6.58239636998616 7.57760982602084 7.58497407412157 7.59227519162604 7.59950676664119 7.60666244834668 7.61373595257222 7.62072106731635 7.62761165820189 7.63440167386316 7.64108515126037 7.64765622091639 7.65410911207135 7.6604381577506 7.66663779974143 7.67270259347439 7.67862721280472 7.6844064546898 7.69003524375852 7.69550863676849 7.70082182694726 7.70597014821362 7.7109490792754 7.71575424760012 7.72038143325497 7.72482657261276 7.72908576192067 7.7331552607285 7.73703149517361 7.74071106111949 7.7441907271453 7.74746743738371 8.83621771030067
1;2;1;7.078784450714286 8.5746044 8.584548300000002 8.5931977 8.6040147 8.6161569 8.6248009 8.6251993 8.62566198409091;46.10734969119047 47.4531734 47.4526821 47.4505209 47.44742120000001 47.4459614 47.442838200000004 47.4401533 47.438623920454546;45.6917690901598 47.6349158641321;6.58239636998616 8.83621771030067
2;3;11;8.62566198409091 8.625565830991736 8.623748996074381 8.543910396874997;47.43862392045455 47.43899318223141 47.43940878946282 47.41192969375;47.6349158641321 47.5948251658056;8.83621771030067 8.71052317134246
3;4;10;8.543910396874999 8.5445631975 8.5453380775 8.5459318575 8.546037837499998 8.544839918125001 8.535395589375 8.516888449333333 8.516513439333334 8.516000729333333 8.507780557333335 8.507454146666667;47.411929693750004 47.411654235 47.411662275000005 47.411707765 47.411697975 47.41200814625 47.412590408750006 47.41268628 47.41284006 47.41263613 47.4089568 47.4084044;47.5948251658056 47.5896969304781;8.71052317134246 8.65406097055567
3;5;1;8.543910396874999 6.909822610000001;47.411929693750004 46.44309771;47.5948251658056 46.1505741041958;8.71052317134246 6.30002493893297
5;1;1;6.909822610000001 6.908509700000001 6.9100322 6.9097865999999994 6.9629071 6.965531200000001 6.9749039999999995 7.011466599999999 7.0246040999999995 7.0442615 7.078734299999999 7.078784450714286;46.44309771 46.443017499999996 46.4404079 46.4374327 46.3177552 46.313179299999994 46.2716817 46.2024867 46.1718316 46.1330003 46.1060439 46.10734969119047;46.1505741041958 45.6917690901598;6.30002493893297 6.58239636998616
5;1;1;6.909822610000001 6.911894800000001 6.9136746 6.9115913 6.9211177 6.9279829 6.931508900000001 6.9209227 6.9531693 6.9961863 7.0786354000000005 7.0802901 7.078784450714286;46.44309771 46.4432274 46.436946500000005 46.436491499999995 46.42898710000001 46.415788899999995 46.4102169 46.3837685 46.304463500000004 46.2417833 46.1149378 46.1079653 46.10734969119047;46.1505741041958 45.6917690901598;6.30002493893297 6.58239636998616
5;1;1;6.909822610000001 6.9001304 6.937717299999999 7.026197200000001 7.078784450714286;46.44309771 46.451211799999996 46.3938251 46.1764547 46.10734969119047;46.1505741041958 45.6917690901598;6.30002493893297 6.58239636998616
2;6;1;8.62566198409091 8.5386899 8.8417525 8.8412984 9.250283 9.4742975 9.4878599 9.641688199999999 9.6544214 9.796047 9.860461099999998 9.971421800000002 9.9823543 9.982994699999999 10.128858099999999 10.2166412 10.427355300000002 10.4412541 10.5985941 10.675650599999999 10.675650599999999 10.718603 10.8102147 10.8102147 10.823528 10.840846 10.8721233 10.8843845 10.885091599999999 10.9059573 10.9435287 10.9595057 11.1054894 11.190305699999998 11.3749767 11.4206346 11.4623736 11.5620414 11.563800099999998 11.56786716;47.438623920454546 47.378654700000006 47.759259 47.75860170000001 47.736683299999996 47.653323799999995 47.6561955 47.9377731 47.9816534 48.097483600000004 48.2568614 48.381044700000004 48.3995412 48.3980559 48.432133 48.4508452 48.424209399999995 48.4017105 48.3392103 48.3304398 48.3304398 48.333732700000006 48.380053600000004 48.380053600000004 48.3897336 48.3954801 48.3805341 48.366248999999996 48.36533060000001 48.354000299999996 48.3524655 48.3006156 48.220698399999996 48.216364299999995 48.1945885 48.169536799999996 48.150138 48.138124499999996 48.139325 48.138864760000004;47.6349158641321 47.9634656557315 47.9711983873656 47.978747013961 47.9860944187081 47.9932239410756 48.0001194145893 48.00676520349 48.0131462381881 48.0192480494349 48.0250568011318 48.0305593217042 48.035743133969 48.0405964834265 48.0451083649147 48.0492685475636 48.0530675979944 48.0564969017098 48.0595486826279 48.0622160207145 48.064492867675 48.0663740606687 48.067855334016 48.0689333288709 48.0696056008375 48.0698706255124 48.0697278019417 48.0691774539834 48.0682208295735 48.0668600978955 48.0650983444625 48.0629395641201 47.9755776848004 47.9732720090815 47.9714259158435 47.9700442465258 47.9691306246007 47.9686874460712 47.9687158731873 47.9692158313981 47.970186009547 47.9716238633103 47.9735256218702 47.9758862978034 47.978699700161 47.9819584507043 47.9856540032548 47.9897766661065 47.9943156274429 47.9992589836911 48.0045937707397 48.0103059979373 48.0163806847834 48.0228019002156 48.0295528043888 48.0366156928387 48.0439720429122 48.0516025623434 48.0594872398487 48.0676053976063 48.0759357454854 48.0844564368794 48.0931451259998 48.6032858775543 48.6124552629031 48.6214359203925 48.6302015854372 48.6387266222131 48.6469860986306 48.6549558592511 48.6626125959306 48.6699339159863 48.676898407686 48.6834857028676 48.6896765365079 48.6954528030641 48.700797609425 48.7056953243161 48.7101316240145 48.7140935342393 48.7175694680963 48.7205492599644 48.7230241952258 48.7249870357525 48.7264320410748 48.7273549851696 48.72775316882 48.7276254275088 48.7269721348249 48.7257952013701 48.7240980691718 48.7218857016165 48.7191645689338 48.7159426292739 48.6128826597209 48.6117012990775 48.610465921854 48.6091769280116 48.6078347348702 48.6064397769735 48.6049925059478 48.6034933903565 48.6019429155478 48.6003415834976 48.5986899126475 48.5969884377364 48.5952377096276 48.5934382951305 48.591590776817 48.5896957528329 48.5877538367043 48.5857656571388 48.5837318578223 48.5816530972102 48.5795300483145 48.5773633984858 48.5751538491908 48.572902115785 48.5706089272816 48.5682750261148 48.5659011679001 48.5634881211891 48.561036667221 48.5585475996698 48.5560217243867 48.1870541617598;8.83621771030067 9.05284670542543 9.0583459143834 9.06438851286257 9.07096079903161 9.07804786997142 9.08563365546802 9.09370095445243 9.10223147400479 9.11120587083424 9.12060379514062 9.13040393675846 9.14058407347859 9.15112112143793 9.16199118746301 9.1731696232487 9.18463108124926 9.19634957215485 9.20829852382334 9.22045084153371 9.23277896942437 9.24525495297719 9.25785050240548 9.27053705680218 9.28328584890288 9.29606797031668 9.30885443707719 9.32161625536473 9.33432448725102 9.34695031631709 9.3594651129956 9.37184049948955 9.82870157267072 9.84197090071937 9.85539845406955 9.86894901852872 9.88258705730373 9.89627680419721 9.90998235740556 9.92366777367264 9.93729716255206 9.95083478053109 9.96424512476912 9.97749302620507 9.99054374178933 10.0033630455986 10.0159173185944 10.0281736367901 10.0400998575952 10.0516647041103 10.0628378471517 10.0735899847907 10.083892919199 10.0937196305981 10.1030443481199 10.1118426173914 10.120091364667 10.1277689573405 10.1348552606771 10.1413316906173 10.1471812625142 10.1523886356766 10.1569401536 10.4010710041748 10.4059785663903 10.4116290543948 10.4180059429256 10.4250905823089 10.4328622530022 10.4412982261899 10.4503738302555 10.4600625229357 10.4703359689448 10.4811641228436 10.4925153169094 10.5043563537505 10.5166526033944 10.5293681045656 10.5424656698573 10.5559069944883 10.5696527683281 10.5836627908626 10.597896088763 10.6123110357156 10.6268654741608 10.6415168385859 10.6562222800114 10.6709387913054 10.6856233329616 10.700232958971 10.7147249424209 10.7290569004531 10.7431869182149 10.757073671443 11.1658318736532 11.1703738408475 11.1748830287218 11.1793579773976 11.1837972380821 11.1881993735362 11.1925629585406 11.1968865803569 11.201168839185 11.2054083486164 11.209603736083 11.2137536433013 11.2178567267124 11.2219116579171 11.2259171241055 11.2298718284825 11.2337744906874 11.2376238472084 11.2414186517919 11.2451576758458 11.2488397088372 11.2524635586845 11.2560280521433 11.2595320351862 11.2629743733763 11.2663539522347 11.2696696776013 11.2729204759889 11.2761052949309 11.2792231033218 11.2822728917514 11.7195986279272
2;6;1;8.62566198409091 8.6256865 8.8403282 8.8491046 11.5591266 11.5581115 11.556023300000001 11.554098199999999 11.555352000000001 11.5642564 11.5612941 11.560896000000001 11.566119300000002 11.575981599999999 11.577000300000002 11.5561311 11.553116699999999 11.5537391 11.561172099999999 11.5640303 11.566326400000001 11.56786716;47.438623920454546 47.4403881 47.758488899999996 47.7612098 48.139079100000004 48.1405191 48.1403964 48.1406715 48.1406461 48.1418001 48.1395206 48.1413217 48.1399232 48.1395737 48.141781 48.1784944 48.1754255 48.173967100000006 48.1394041 48.139428499999994 48.139129 48.138864760000004;47.6349158641321 48.0089191191989 48.0148232631529 48.0206196400076 48.0263005495011 48.0318584447653 48.0372859423519 48.0425758320405 48.0477210864179 48.0527148702131 48.0575505493778 48.0622216998998 48.0667221163365 48.0710458200594 48.0751870671955 48.0791403562585 48.0829004354572 48.0864623096721 48.0898212470915 48.092972785497 48.0959127381922 48.0986371995638 48.1011425502706 48.1034254620511 48.1054829021457 48.1073121373248 48.1089107375205 48.1102765790544 48.1114078474589 48.1123030398878 48.1129609671127 48.1133807551027 48.1870541617598;8.83621771030067 9.09034105560091 9.09459591416022 9.09916920860724 9.10405486349755 9.10924638842804 9.11473688665905 9.12051906427654 9.12658523988165 9.13292735479526 9.13953698376353 9.14640534615059 9.15352331760325 9.16088144217236 9.16846994487464 9.17627874467841 9.18429746789583 9.19251546196392 9.20092180959614 9.2095053432855 9.21825466014023 9.22715813703203 9.23620394603698 9.24538007014847 9.2546743192413 9.26407434626583 9.27356766365054 9.28314165989127 9.29278361630513 9.30248072392679 9.31222010052465 9.32198880771443 11.7195986279272
3;7;3;8.543910396874999 8.6258985 8.62496086222222;47.411929693750004 47.4384642 47.443536284444434;47.5948251658056 47.6424327808074;8.71052317134246 8.83501283798385
7;2;12;8.624960862222222 8.624957896666665 8.625537465719697 8.62566198409091;47.443536284444434 47.44347013833332 47.439246345265154 47.438623920454546;47.6424327808074 47.6349158641321;8.83501283798385 8.83621771030067
2;4;2;8.62566198409091 8.5404275 8.53948115 8.529674649999999 8.511816123333332 8.507454146666667;47.438623920454546 47.4126727 47.41356255 47.4138112 47.41052645 47.4084044;47.6349158641321 47.5896969304781;8.83621771030067 8.65406097055567
4;8;2;8.507454146666667 8.505415850000002 8.5380106 8.5417867 8.54549545 8.548427766666665;47.4084044 47.4056063 47.389803900000004 47.386004549999996 47.3784737 47.377712333333335;47.5896969304781 47.5421108547357;8.65406097055567 8.71812684193631
8;7;2;8.548427766666665 8.5488636 8.54823425 8.5384766 8.5334083 8.62412275 8.62496086222222;47.377712333333335 47.3735983 47.37452965 47.37759695 47.3791703 47.4402693 47.443536284444434;47.5421108547357 47.6424327808074;8.71812684193631 8.83501283798385
7;9;1;8.62496086222222 8.5656126 8.552838900000001 8.530595199999999 8.5044034 8.505657800000002 8.5211577 8.5334955 8.5413265 8.5441891 7.5615871 7.5613656 7.5599283999999995 7.562151700000001 7.5626757 7.5622666 7.5605327 7.557521400000001 7.555517999999999 7.546058599999999 7.5324201 7.518070080000001;47.443536284444434 47.4161646 47.4141784 47.4136472 47.4087968 47.405972600000005 47.399475 47.3972049 47.3872023 47.379338700000005 46.482589399999995 46.4816001 46.48131 46.482598200000005 46.482143799999996 46.4825928 46.482571 46.4821761 46.4807643 46.4724794 46.4685773 46.471890179999995;47.6424327808074 46.158104907481;8.83501283798385 7.14525261762552
