origin;destination;waypointsLong;waypointsLat
2;3;8.62566198409091 8.552069 8.543722099999998 8.5410472 8.5261478 8.509279199999998 8.506312699999999 8.5022179 8.501192 8.4987948 8.4900468 8.484621699999998 8.4859633 8.5047661 8.5193012 8.543910396874999;47.438623920454546 47.4187508 47.4122161 47.4141946 47.41413729999999 47.4118334 47.4066816 47.4012752 47.4013021 47.4020664 47.4033007 47.4044629 47.4033234 47.4049867 47.414435600000004 47.411929693750004
3;7;8.543910396874999 8.6259589 8.62496086222222;47.411929693750004 47.4384682 47.443536284444434
7;2;8.62496086222222 8.624725300000001 8.62566198409091;47.443536284444434 47.443048299999994 47.438623920454546
2;4;8.62566198409091 8.543367300000002 8.5414746 8.528559699999999 8.507454146666667;47.438623920454546 47.412222 47.41400170000001 47.413842700000004 47.4084044
4;3;8.507454146666667 8.519380499999999 8.543910396874999;47.4084044 47.4144305 47.411929693750004
3;7;8.543910396874999 8.625778 8.62496086222222;47.411929693750004 47.43843029999999 47.443536284444434
7;7;8.62496086222222 8.62496086222222;47.443536284444434 47.443536284444434
7;2;8.62496086222222 8.624797099999999 8.6252692 8.62566198409091;47.443536284444434 47.4430021 47.439621 47.438623920454546
2;1;8.62566198409091 8.5438825 8.544244 8.521227 8.5092274 8.5101713 8.535007499999999 8.5441684 8.541522800000001 7.0787344 7.0770386 7.0701034 7.0718081999999995 7.075399000000001 7.0814825 7.060575599999999 7.061662200000001 7.0646954 7.0705912 7.081258 7.0812479999999995 7.054694500000001 7.0682966 7.1373568 7.1431434000000005 7.1540322 7.1470413 7.1422435 7.1260787 7.1242646999999995 7.1112049 7.1053453 7.1151467 7.1255599 7.1452285 7.1000641 7.0794011 7.078784450714286;47.438623920454546 47.4126661 47.4139274 47.4143529 47.411651500000005 47.399908 47.39600120000001 47.3801558 47.3782426 46.107611799999994 46.106746 46.1026627 46.1030333 46.104985799999994 46.099050399999996 46.08867720000001 46.08891929999999 46.09180070000001 46.101353 46.098905200000004 46.097249 46.0869529 46.074888200000004 46.0778151 46.0783641 46.0705171 46.039921500000005 46.02793870000001 45.9999551 45.9832301 45.9640781 45.95290479999999 45.9691601 46.003248799999994 46.033406799999995 46.0821466 46.1027027 46.10734969119047
1;7;7.078784450714286 7.371915700000001 7.446833099999999 8.62496086222222;46.10734969119047 46.2362951 46.2606915 47.443536284444434
7;2;8.62496086222222 8.625313499999999 8.62566198409091;47.443536284444434 47.4397629 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;4;8.543910396874999 8.5419205 8.517337300000001 8.507454146666667;47.411929693750004 47.413923600000004 47.4129277 47.4084044
4;3;8.507454146666667 8.5153925 8.5194727 8.523222800000001 8.5348479 8.546132 8.556016900000001 8.5549571 8.5522382 8.5476629 8.543910396874999;47.4084044 47.4123727 47.4141592 47.4126214 47.4101199 47.4102123 47.4107534 47.4108513 47.4105419 47.4109534 47.411929693750004
3;7;8.543910396874999 8.62496086222222;47.411929693750004 47.443536284444434
7;7;8.62496086222222 8.62496086222222;47.443536284444434 47.443536284444434
7;2;8.62496086222222 8.6253246 8.62566198409091;47.443536284444434 47.4437647 47.438623920454546
2;7;8.62566198409091 8.62496086222222;47.438623920454546 47.443536284444434
7;2;8.62496086222222 8.62566198409091;47.443536284444434 47.438623920454546
2;7;8.62566198409091 8.534278500000001 8.515676699999998 8.5088229 8.518473599999998 8.5276704 8.545717800000002 8.552862900000001 8.5561899 8.575652900000001 8.5977419 8.599608 8.5996944 8.5982211 8.5953475 8.5935881 8.625682099999999 8.62496086222222;47.438623920454546 47.4131367 47.41245120000001 47.410560700000005 47.4135356 47.4115148 47.411086499999996 47.410729700000005 47.4107117 47.40982329999999 47.409709 47.411531599999996 47.4133109 47.4134909 47.413506 47.4123359 47.4384893 47.443536284444434
7;7;8.62496086222222 8.62496086222222;47.443536284444434 47.443536284444434
7;2;8.62496086222222 8.625208599999999 8.62566198409091;47.443536284444434 47.439698799999995 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;4;8.543910396874999 8.5299254 8.5190321 8.509281300000001 8.507454146666667;47.411929693750004 47.4135408 47.414596 47.4117968 47.4084044
4;8;8.507454146666667 8.5052239 8.544038 8.5446896 8.548427766666665;47.4084044 47.4053386 47.3816923 47.37925560000001 47.377712333333335
8;7;8.548427766666665 8.549145699999999 8.549418699999999 8.5388365 8.6249464 8.62496086222222;47.377712333333335 47.37059620000001 47.369603600000005 47.3774435 47.4416773 47.443536284444434
7;1;8.62496086222222 8.625632000000001 8.507829300000001 8.511175699999999 8.5307359 8.5384276 8.541933300000002 8.544488900000001 8.5425381 8.537446000000001 8.5356317 8.5352078 7.078784450714286;47.443536284444434 47.4405817 47.4090355 47.3995909 47.3977726 47.3921955 47.3858309 47.3789351 47.3784167 47.3778852 47.378196100000004 47.3788392 46.10734969119047
1;4;7.078784450714286 8.612597000000001 8.543349599999999 8.5412371 8.530327699999999 8.519280300000002 8.5118926 8.507454146666667;46.10734969119047 47.4427 47.412532299999995 47.413927799999996 47.4134984 47.4144266 47.4114311 47.4084044
4;2;8.507454146666667 8.5082367 8.505419 8.371762700000001 8.3285362 8.3066856 8.3125815 8.3113599 8.3126488 8.3099402 8.516369300000001 8.62566198409091;47.4084044 47.4091158 47.4103337 47.427720799999996 47.4548587 47.4706037 47.47252 47.473132899999996 47.4736316 47.4733039 47.385366999999995 47.438623920454546
2;2;8.62566198409091 8.62566198409091;47.438623920454546 47.438623920454546
2;2;8.62566198409091 8.6173142 8.5436574 8.5325291 8.5195055 8.508942800000002 8.515495399999999 8.5217664 8.535715199999999 8.5420421 8.62566198409091;47.438623920454546 47.4409439 47.4121208 47.4133385 47.414790999999994 47.41043870000001 47.412331200000004 47.4140119 47.4131731 47.4125745 47.438623920454546
2;2;8.62566198409091 8.62566198409091;47.438623920454546 47.438623920454546
2;4;8.62566198409091 8.5374877 8.530789599999999 8.5161781 8.507454146666667;47.438623920454546 47.413123399999996 47.4137797 47.412648499999996 47.4084044
4;2;8.507454146666667 8.506404199999999 8.5265509 8.5339022 8.538669500000001 8.5440004 8.5484685 8.6257351 8.6256737 8.62566198409091;47.4084044 47.4064916 47.398478000000004 47.3969904 47.3915583 47.3812864 47.3820357 47.4384729 47.4406686 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;4;8.543910396874999 8.5355705 8.507454146666667;47.411929693750004 47.413298700000006 47.4084044
4;3;8.507454146666667 8.5185657 8.519612599999999 8.5315276 8.553078300000001 8.549859399999999 8.5466859 8.543910396874999;47.4084044 47.413605 47.413857799999995 47.4105854 47.4107888 47.4106433 47.4101514 47.411929693750004
3;2;8.543910396874999 8.62566198409091;47.411929693750004 47.438623920454546
2;7;8.62566198409091 8.62496086222222;47.438623920454546 47.443536284444434
7;2;8.62496086222222 8.625513900000001 8.62566198409091;47.443536284444434 47.4408059 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;3;8.543910396874999 8.5437132 8.5199462 8.508925999999999 8.5189014 8.5373459 8.543910396874999;47.411929693750004 47.4140986 47.4146983 47.4101083 47.413973600000006 47.4131184 47.411929693750004
3;2;8.543910396874999 8.62566198409091;47.411929693750004 47.438623920454546
2;7;8.62566198409091 8.62496086222222;47.438623920454546 47.443536284444434
7;2;8.62496086222222 8.625510499999999 8.62566198409091;47.443536284444434 47.4407001 47.438623920454546
2;1;8.62566198409091 6.9635664 7.0215762 7.0881792 7.153555099999999 7.1926841 7.1945526 7.1886717 7.171401299999999 7.1510853 7.150375200000001 7.1503383000000005 7.1507292 7.150112400000001 7.162820599999999 7.1794694 7.196372 7.2005289999999995 7.1770535 8.626378 8.635876300000001 8.6296225 8.6276663 8.5933159 8.578474 8.532506800000002 8.3679385 8.3224061 8.1691662 8.0600027 7.7650217 7.560271000000001 7.4689366999999995 7.3855838 7.2740160000000005 7.11468 7.083110499999999 7.085097500000001 6.9577463 6.881170200000001 6.9294402999999996 7.078784450714286;47.438623920454546 46.611261600000006 46.6220719 46.6839145 46.8316711 46.853458200000006 46.870036999999996 46.8860249 46.89408220000001 46.910452 46.9117782 46.911860100000006 46.910883 46.9059176 46.8968474 46.8898031 46.883154 46.8582239 46.849616 47.44412979999999 47.4374855 47.4422424 47.443771000000005 47.450984999999996 47.453514299999995 47.433934 47.4291239 47.4545947 47.395287100000004 47.3547202 47.3001713 47.0646584 46.976079799999994 46.9322569 46.8755787 46.8017206 46.7226951 46.722289700000005 46.607091700000005 46.4784427 46.3421977 46.10734969119047
1;1;7.078784450714286 7.0815982 7.076784599999999 7.078784450714286;46.10734969119047 46.108802000000004 46.1109737 46.10734969119047
1;5;7.078784450714286 7.0802901 7.0786354000000005 6.9961863 6.9531693 6.9209227 6.931508900000001 6.9279829 6.9211177 6.9115913 6.9136746 6.911894800000001 6.909822610000001;46.10734969119047 46.1079653 46.1149378 46.2417833 46.304463500000004 46.3837685 46.4102169 46.415788899999995 46.42898710000001 46.436491499999995 46.436946500000005 46.4432274 46.44309771
5;1;6.909822610000001 6.9001304 6.937717299999999 7.026197200000001 7.078784450714286;46.44309771 46.451211799999996 46.3938251 46.1764547 46.10734969119047
1;1;7.078784450714286 7.078460499999999 7.0747677 7.0717024 7.0663979999999995 7.0634266000000006 7.058925200000001 7.055637400000001 7.056532700000001 7.0538849 7.0528457 7.0517979 7.053657799999999 7.053401700000001 7.0530963 7.053414599999999 7.052694 7.060527799999999 7.0652175 7.078784450714286;46.10734969119047 46.1067196 46.1065993 46.1053449 46.102013799999995 46.0977744 46.0938318 46.0899569 46.086907000000004 46.0857708 46.085680700000005 46.0881835 46.0906966 46.0895575 46.08976320000001 46.090495700000005 46.0852285 46.088435700000005 46.0915486 46.10734969119047
1;1;7.078784450714286 7.0783285000000005 7.0713565 7.078784450714286;46.10734969119047 46.106750899999994 46.102710200000004 46.10734969119047
1;1;7.078784450714286 7.0762279999999995 7.077269099999999 7.081962700000001 7.078784450714286;46.10734969119047 46.1045661 46.0965745 46.096563 46.10734969119047
1;1;7.078784450714286 7.0781125 7.0753878 7.0627802 7.045731900000001 7.0340235 7.0248553 7.028488900000001 7.0278516 7.0072886 7.006405900000001 7.0067594 7.004869900000001 7.0031555999999995 7.002421000000001 7.000621000000001 6.986223 6.9772506 6.9646625 6.9537455999999995 6.9544969 6.9386011 6.931538199999999 6.927458199999999 6.925362 6.9208046 6.9216584 6.9248161999999995 6.931480499999999 6.9286458 6.9247027 6.911836900000001 6.90497 6.8912504 6.878903 6.869233199999999 6.8588719 6.8492274 6.8393392 6.8269492 6.814737599999999 6.8005689 6.784641099999999 6.7383803 6.7233913 6.7095156000000005 6.691468700000001 6.685465299999999 6.6669845 6.6564312 6.6463602 6.6375397 6.6273792 6.629208800000001 6.629007499999999 7.078784450714286;46.10734969119047 46.106541 46.1056801 46.1109576 46.1285148 46.1404095 46.1686549 46.180020299999995 46.1869182 46.207191200000004 46.20923 46.21500379999999 46.2226031 46.233268599999995 46.2437577 46.2574269 46.29414310000001 46.301945700000005 46.3073527 46.324100099999995 46.3296308 46.347627 46.3578658 46.3638496 46.3759069 46.387495799999996 46.396029299999995 46.3984534 46.408820399999996 46.4186066 46.424535600000006 46.430580299999995 46.43934 46.44076939999999 46.4454658 46.4487751 46.45103579999999 46.45968679999999 46.4646582 46.4686544 46.4706748 46.4720946 46.4745323 46.490307200000004 46.4873416 46.4941459 46.500685499999996 46.503926899999996 46.506789000000005 46.5067652 46.5063261 46.5061821 46.508041299999995 46.511204600000006 46.516853499999996 46.10734969119047
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;1;7.078784450714286 7.078219 7.071330199999999 7.0726398 7.0791162 7.078784450714286;46.10734969119047 46.106665 46.1026873 46.1032962 46.1072466 46.10734969119047
1;1;7.078784450714286 7.0799171 7.0892686000000005 7.078784450714286;46.10734969119047 46.107585799999995 46.1123782 46.10734969119047
1;1;7.078784450714286 7.0762521 7.066203999999999 7.0610838000000005 7.0591254 7.0590599 7.0641685 7.0795606 7.0768645 7.0890951 7.100439 7.100552400000001 7.1242182000000005 7.130903599999999 7.1466406000000005 7.156241400000001 7.139481 7.0861089999999995 7.078784450714286;46.10734969119047 46.1067998 46.098901500000004 46.089616799999995 46.08650120000001 46.0853864 46.0878755 46.0925351 46.091306200000005 46.089243599999996 46.0884626 46.0926516 46.096942299999995 46.0886646 46.080953 46.081066899999996 46.0780355 46.080338399999995 46.10734969119047
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;1;7.078784450714286 7.0780216000000005 7.070385000000001 7.078784450714286;46.10734969119047 46.1065183 46.1046451 46.10734969119047
1;1;7.078784450714286 7.0820269 6.9555067 6.9570892 6.9580598 6.9584437999999995 6.9596962 6.960861099999999 6.9618136 6.9627194 6.962417200000001 6.962090299999999 6.961158500000001 6.9611539 6.9612158 6.9623682 6.9636285 6.964655199999999 6.9640056 6.9628005 6.961506900000001 6.959233800000001 6.9575394 6.9574157 6.9561329 6.955205099999999 6.9524163 6.9499381 6.9494662 6.9476707 6.9471454 6.9472592 6.946546400000001 6.9462493 6.9458959 6.9429547000000005 6.941633099999999 6.9388515 6.9392438 6.9408189 6.942228900000001 6.943983500000001 6.9445901 6.945665299999999 6.946936200000001 6.9504329 6.953141400000001 6.9541762 6.9566288 6.960310000000001 6.970078200000001 7.0012943 7.012949400000001 7.078784450714286;46.10734969119047 46.1099646 46.3250969 46.3326221 46.3338689 46.3357629 46.336341299999994 46.337036299999994 46.3378547 46.3387181 46.3396494 46.3402734 46.3411977 46.3421769 46.343109600000005 46.343855 46.3443557 46.345425 46.3463214 46.3468907 46.3475513 46.348632099999996 46.3470256 46.3460362 46.3466767 46.3475385 46.347353000000005 46.3468148 46.34589129999999 46.3463921 46.347331700000005 46.3482639 46.3491664 46.350094299999995 46.3513377 46.352206 46.3516528 46.350713 46.3497081 46.3475489 46.345236299999996 46.3414286 46.339490399999995 46.3376322 46.335664200000004 46.3349502 46.334777 46.332867 46.332221999999994 46.329876399999996 46.3183313 46.2559921 46.2030231 46.10734969119047
