group,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,66.0,0.0,0.0,0.0,9.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
1,0.0,66.0,0.0,0.0,0.0,9.0,1.0,1.29,2.0,0.0,0.0,1.0,0.0,2.0
2,0.0,66.0,0.0,0.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
3,0.0,66.0,0.0,0.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
4,0.0,66.0,0.0,0.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
5,0.0,66.0,0.0,0.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
6,0.0,65.65527777777778,0.0,0.0,0.0,8.803888888888888,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
7,0.0,57.54,0.8377777777777777,0.0,6.011388888888889,6.961944444444445,1.3272222222222223,2.462222222222222,2.0,0.0,0.0,1.3352777777777778,0.0,1.271388888888889
8,0.0,56.09,4.985,0.0,8.944444444444445,5.0,1.9969444444444444,3.0,2.0,0.0,0.0,2.0,0.0,1.0
9,0.0,52.9275,9.409444444444444,0.0,7.005,4.993611111111111,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0
10,0.0,51.22416666666667,11.122222222222222,0.0,7.764722222222222,3.733888888888889,0.8775,3.0,1.5852777777777778,0.0,0.0,2.0,0.0,1.9136111111111112
11,0.0,47.39388888888889,12.932222222222222,0.0,8.5725,3.105277777777778,1.0,2.6041666666666665,1.0,0.0,0.0,1.051111111111111,0.0,1.0
12,1.9044444444444444,46.73888888888889,12.861944444444445,0.0,7.062222222222222,3.5955555555555554,0.3125,2.0,1.085,0.0,0.0,1.0,0.9044444444444445,1.0
13,0.0,45.5525,13.631388888888889,0.8227777777777778,7.482777777777778,3.8602777777777777,0.0,2.0,0.3486111111111111,0.0,0.0,1.0,0.0,1.0
14,0.0,45.60666666666667,14.544444444444444,0.0,6.0,4.167222222222223,0.0,1.4413888888888888,0.0,0.0,0.13722222222222222,1.0,0.0,1.7597222222222222
15,0.0,42.81805555555555,12.520833333333334,0.6711111111111111,5.890833333333333,2.4044444444444446,0.0,0.29555555555555557,0.0,1.493611111111111,1.2616666666666667,1.0,0.0,2.0
16,1.7025,39.640277777777776,10.063888888888888,0.0,4.413888888888889,4.620833333333334,0.515,0.0,0.22138888888888889,3.8869444444444445,2.1055555555555556,0.19416666666666665,0.0,2.0
17,3.0183333333333335,39.82333333333333,9.309722222222222,1.4180555555555556,0.0,8.1925,0.3186111111111111,0.0,0.7616666666666667,3.4894444444444446,0.38333333333333336,1.0144444444444445,0.22361111111111112,2.0
18,4.793888888888889,45.261944444444445,2.5077777777777777,2.2133333333333334,0.0,8.335833333333333,0.0,0.0,2.0,0.0,0.0,1.4169444444444443,1.2005555555555556,1.1944444444444444
19,5.460555555555556,53.00277777777778,1.0,0.0,0.0,8.181111111111111,0.0,0.5063888888888889,2.0,0.0,0.0,1.0,0.9975,0.0
20,2.0572222222222223,56.39833333333333,1.0,0.0,0.0,8.492222222222223,0.0,2.0,2.0,0.0,0.0,1.8288888888888888,1.0,0.0
21,1.1391666666666667,57.64944444444444,1.0,0.0,0.0,8.18138888888889,0.0,2.0,1.3908333333333334,0.0,0.0,1.8111111111111111,1.0,0.655
22,0.0,63.32944444444445,0.059444444444444446,0.0,0.0,8.122222222222222,0.6588888888888889,1.936388888888889,1.0616666666666668,0.0,0.0,1.0,0.21472222222222223,1.6216666666666666
23,0.0,65.71194444444444,0.0,0.0,0.0,9.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
