,name,dist,distPerc,co2km,co2Total,co2Perc
0,by Car,1901.279,0.3719,0.133,252.87010700000002,0.5351
2,by Plane,809.055,0.1583,0.133,107.604315,0.2277
1,by Train,1185.368,0.2319,0.065,77.04892,0.163
4,by Bus,451.485,0.0883,0.069,31.152465000000003,0.0659
6,by Ferry,26.824,0.0052,0.115,3.08476,0.0065
7,by Tram,19.487,0.0038,0.042,0.818454,0.0017
3,Walking,588.16,0.115,0.0,0.0,0.0
5,by Bike,122.527,0.024,0.0,0.0,0.0
8,Running,8.285,0.0016,0.0,0.0,0.0
