origin;destination;waypointsLong;waypointsLat
1;2;8.464655266363637 8.4646571 8.4860571 8.498945635487624;47.39265519772728 47.394957700000006 47.424898999999996 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;2;8.498945635487624 8.496263 8.498945635487624;47.42113790083078 47.4176615 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;3;8.498945635487624 8.502550999999999 8.503231699999999 8.5045493 8.5052128 8.507219726194768;47.42113790083078 47.4192684 47.4174164 47.410868900000004 47.40944520000001 47.408456757483904
3;2;8.507219726194768 8.505899000000001 8.5282141 8.533336300000002 8.5256214 8.5220953 8.532617199999999 8.534528100000001 8.5263345 8.5129561 8.503538 8.498945635487624;47.408456757483904 47.404494799999995 47.398114299999996 47.3988552 47.3947169 47.39035870000001 47.397686799999995 47.4012811 47.4109843 47.4157149 47.420212400000004 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;4;8.498945635487624 8.507608512037038;47.42113790083078 47.42004051759259
4;2;8.507608512037038 8.5083481 8.506440699999999 8.503644099999999 8.5010116 8.498945635487624;47.42004051759259 47.42061029999999 47.4200313 47.4206441 47.4210598 47.42113790083078
2;5;8.498945635487624 8.4907009 8.4801448 8.482372 8.4881347 8.4943221 8.4951798 8.498527099999999 8.496061099999999 8.498673199999999 8.447786500000001 8.447686000000001 8.456111239894392;47.42113790083078 47.42356420000001 47.428053000000006 47.4297908 47.4299914 47.429818700000006 47.4280187 47.42667470000001 47.423903700000004 47.4228424 47.414088899999996 47.4050288 47.399021004400126
5;6;8.456111239894392 8.4653259 8.4298811 8.432248 8.4443868 8.4513383 8.433799 8.434880997064104;47.399021004400126 47.4003191 47.4118963 47.2762446 47.1433101 47.1084343 47.0837408 47.086082295000004
6;6;8.434880997064104 8.448867300000002 8.450940600000001 8.4432727 8.434880997064104;47.086082295000004 47.0932429 47.1024953 47.088077399999996 47.086082295000004
6;2;8.434880997064104 8.435044300000001 8.450406599999999 8.4389099 8.498945635487624;47.086082295000004 47.0846144 47.1006085 47.149046500000004 47.42113790083078
2;2;8.498945635487624 8.498945635487624;47.42113790083078 47.42113790083078
2;5;8.498945635487624 8.4839132 8.4451113 8.4477525 8.4478394 8.456111239894392;47.42113790083078 47.4243782 47.4152912 47.408702000000005 47.4027527 47.399021004400126
5;6;8.456111239894392 8.455993300000001 8.4612898 8.479305199999999 8.4457627 8.426105 8.4604554 8.4771977 8.5145109 8.5113226 8.516875599999999 8.518512800000002 8.4994533 8.460292599999999 8.464917 8.4756746 8.480457800000002 8.481990099999999 8.448786300000002 8.434880997064104;47.399021004400126 47.3989864 47.398415 47.3983136 47.410533 47.2923804 47.2295282 47.189904 47.1870598 47.1750018 47.1725011 47.172568 47.176869700000005 47.1800516 47.181647 47.1953322 47.1998438 47.2006109 47.0933545 47.086082295000004
6;7;8.434880997064104 8.4405433 8.4406392 8.447056800000002 8.450937300000001 8.450937300000001 8.456226 8.6118564 8.6320465 8.599499 8.6073346 8.670313400000001 8.859093 8.9760461 8.9278599 8.9150229 8.948130800000001 8.981763699999998 9.0494644 9.071240300000001 9.068309800000002 9.0777582 9.0766396 9.0817621 9.0792356 9.0868897 9.0862095 9.0859267 9.0834153 9.0840144 9.0828341 9.0858627 9.0872646 9.084706599999999 9.1004664 9.1573727 9.157111500000001 9.156716329166667;47.086082295000004 47.0802571 47.0821042 47.0910294 47.1024945 47.1024945 47.099509999999995 46.9802722 46.8471714 46.7034064 46.5278914 46.51610529999999 46.41886829999999 46.3299895 46.0603213 46.0019949 45.955384 45.8505039 45.838662400000004 45.835431899999996 45.8244014 45.8081665 45.813554100000005 45.8113654 45.808630900000004 45.810986799999995 45.8087571 45.8071532 45.8113488 45.81228660000001 45.8134291 45.811241100000004 45.8106047 45.8138901 45.836071600000004 45.869197899999996 45.882153 45.8852656375
7;7;9.156716329166667 9.104493 9.1567885 9.156716329166667;45.8852656375 45.851344 45.885185299999996 45.8852656375
