,name,dist,distPerc,co2km,co2Total,co2Perc
0,by Plane,3538.962,0.5659,0.133,470.68194600000004,0.675
2,by Car,844.333,0.135,0.133,112.296289,0.161
1,by Train,1706.349,0.2728,0.065,110.912685,0.1591
4,by Bus,26.513,0.0042,0.069,1.8293970000000002,0.0026
5,by Subway,24.748,0.004,0.065,1.6086200000000002,0.0023
3,Walking,112.402,0.018000000000000002,0.0,0.0,0.0
6,by Bike,0.789,0.0001,0.0,0.0,0.0
