origin;destination;waypointsLong;waypointsLat
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346945 8.4334018 8.4408049 8.4404142 8.4387574 8.4346273 8.4346164083627;47.08617838693552 47.0860868 47.084286600000006 47.0809412 47.0800967 47.087148799999994 47.086144399999995 47.08617838693552
1;1;8.4346164083627 8.4387574 8.4346136 8.4346164083627;47.08617838693552 47.087148799999994 47.0861683 47.08617838693552
1;1;8.4346164083627 8.4394044 8.383621 8.3810378 8.3787839 8.3768112 8.374728900000001 8.3740214 8.3749442 8.3769697 8.378401299999998 8.3864481 8.3929341 8.3928485 8.3928485 8.3885358 8.393765199999999 8.3932835 8.392837599999998 8.3885358 8.391711599999999 8.396276 8.411475999999999 8.429998 8.4526007 8.464089999999999 8.4500281 8.4504811 8.4346164083627;47.08617838693552 47.0867945 47.086293700000006 47.088038299999994 47.0899032 47.091719899999994 47.0933584 47.0955644 47.0976545 47.099455600000006 47.101203399999996 47.111403499999994 47.115675599999996 47.115761 47.115761 47.115675599999996 47.1156145 47.115764299999995 47.1156057 47.115675599999996 47.1178083 47.1227958 47.134716100000006 47.140947499999996 47.1408314 47.1325073 47.1091989 47.1049714 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;2;8.4346164083627 8.435502 8.4395828 8.4999221 8.5025863 8.498514877548391;47.08617838693552 47.085004999999995 47.0873941 47.4221388 47.4205011 47.42089818119723
2;2;8.498514877548391 8.499236400000001 8.5041812 8.5041812 8.4992493 8.499281800000002 8.5001446 8.5018286 8.5018138 8.5000888 8.498514877548391;47.42089818119723 47.4223563 47.4225826 47.4225826 47.422319200000004 47.4223082 47.4220167 47.420967700000006 47.420964899999994 47.4212535 47.42089818119723
2;2;8.498514877548391 8.5017742 8.501838900000001 8.5019694 8.5019359 8.502018 8.5027711 8.5048555 8.506490300000001 8.506851900000001 8.5083309 8.5082839 8.508339900000001 8.508548300000001 8.508593300000001 8.508560099999999 8.5083561 8.508099099999999 8.5079392 8.507880300000002 8.507879800000001 8.507900300000001 8.507931800000001 8.507960800000001 8.5079828 8.5079968 8.546416699999998 8.5484222 8.5495009 8.550506599999999 8.5508172 8.550834599999998 8.5506433 8.550437400000002 8.5502618 8.550122300000002 8.540633099999999 8.540633099999999 8.540633099999999 8.540633099999999 8.540633099999999 8.540633099999999 8.540633099999999 8.540633099999999 8.5171819 8.5171819 8.5171819 8.5171819 8.5171819 8.5171819 8.5171819 8.5171819 8.508270699999999 8.508272 8.508270300000001 8.539571400000002 8.5396022 8.5383849 8.5362463 8.5338489 8.530903599999998 8.5298702 8.5298516 8.530904199999998 8.5331633 8.5345827 8.5367088 8.536612400000001 8.5266282 8.5266282 8.5266282 8.5171819 8.5171511 8.5171144 8.517159 8.5167588 8.516589300000001 8.516611300000001 8.5165269 8.517011199999999 8.5133925 8.5133925 8.5133925 8.5133925 8.5133925 8.5133925 8.5290196 8.5290196 8.5290196 8.5410117 8.5410117 8.5410117 8.5410117 8.5410117 8.5434183 8.5434183 8.5434183 8.5457821 8.5460672 8.5455647 8.547134300000002 8.5471324 8.5496532 8.5496532 8.548881800000002 8.546007000000001 8.544140400000002 8.5439635 8.5441484 8.544418499999999 8.5434453 8.542563699999999 8.5424385 8.5323715 8.5317939 8.5203819 8.516046099999999 8.5130573 8.5110315 8.5090756 8.507837 8.5072689 8.498514877548391;47.42089818119723 47.4208321 47.4209883 47.4210533 47.42091129999999 47.4209858 47.4206059 47.41963870000001 47.4190152 47.418881 47.4212191 47.420976 47.4209617 47.4209406 47.4209145 47.42094829999999 47.4211094 47.4213069 47.4214275 47.4214704 47.421469099999996 47.421452200000004 47.4214274 47.4214049 47.4213879 47.4213772 47.419102200000005 47.4191237 47.41913529999999 47.4171826 47.41682720000001 47.4167354 47.416862200000004 47.4170257 47.4171749 47.4173001 47.4107688 47.4107688 47.4107688 47.4107688 47.4107688 47.4107688 47.4107688 47.4107688 47.385238 47.385238 47.385238 47.385238 47.385238 47.385238 47.385238 47.385238 47.42080479999999 47.4208056 47.4208053 47.3786463 47.3780868 47.3777506 47.3781365 47.3785889 47.3790725 47.3787187 47.378587599999996 47.3787984 47.37760170000001 47.3767814 47.3783711 47.3792917 47.3827255 47.3827255 47.3827255 47.385238 47.3852402 47.38524279999999 47.3852232 47.385318100000006 47.3853569 47.385355700000005 47.3853761 47.3852256 47.386131899999995 47.386131899999995 47.386131899999995 47.386131899999995 47.386131899999995 47.386131899999995 47.39637020000001 47.39637020000001 47.39637020000001 47.409656 47.409656 47.409656 47.409656 47.409656 47.4113261 47.4113261 47.4113261 47.4120817 47.4119266 47.4116081 47.4140092 47.413917600000005 47.4166362 47.4166362 47.419123600000006 47.4188545 47.4182922 47.418157799999996 47.4181687 47.4182192 47.418257200000006 47.4181739 47.4181621 47.417026 47.4168711 47.4173916 47.4179314 47.419262700000004 47.4200747 47.420823999999996 47.4211758 47.420193700000006 47.42089818119723
2;2;8.498514877548391 8.4978037 8.4985996 8.498514877548391;47.42089818119723 47.4208531 47.4207435 47.42089818119723
2;1;8.498514877548391 8.497757199999999 8.4978624 8.5018378 8.497009599999998 8.943078 8.497009599999998 8.4346164083627;47.42089818119723 47.421063200000006 47.4214332 47.4208529 47.4240419 47.2417655 47.4240419 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;3;8.4346164083627 8.418448300000001 8.4398617 8.4398617 8.4398617 8.369315499999999 8.3682345 8.2437163 8.2440678 8.243350996666665;47.08617838693552 47.0900889 47.087067 47.087067 47.087067 47.0974338 47.0978591 47.0978901 47.0971892 47.09704112
3;3;8.243350996666665 8.2429566 8.2430393 8.243350996666665;47.09704112 47.0968349 47.09733920000001 47.09704112
3;3;8.243350996666665 8.2439273 8.243685300000001 8.2438815 8.243350996666665;47.09704112 47.0975052 47.0976766 47.096884700000004 47.09704112
3;3;8.243350996666665 8.243125599999999 8.2436617 8.243350996666665;47.09704112 47.097496899999996 47.0977371 47.09704112
3;1;8.243350996666665 8.2431336 8.2430141 8.2431776 8.2437208 8.2442101 8.2437622 8.2446211 8.3621807 8.3615732 8.3625989 8.3711774 8.381351700000002 8.4125806 8.381351700000002 8.4345663 8.434568800000001 8.4346164083627;47.09704112 47.0969994 47.0970185 47.0973901 47.0976469 47.097318900000005 47.0979042 47.096135600000004 47.093754100000005 47.0937252 47.094233 47.096621899999995 47.074839399999995 47.0894846 47.074839399999995 47.086168799999996 47.0861655 47.08617838693552
1;4;8.4346164083627 8.4334938 8.4353517 8.441852800000001 8.4348091 8.4477142 8.4466283 8.4384412 8.4323843 8.4322633 8.431270300000001 8.9471109 8.5134797 8.537725300000002 8.5134797 8.5389491 8.5134797 8.5134797 8.516589199999999 8.5134797 8.5134797 8.5456933 8.5455765 8.5467222 8.5485254 8.550341099999999 8.551789694547853;47.08617838693552 47.08425 47.0849096 47.0871564 47.0865217 47.109879 47.1246075 47.1330265 47.141325200000004 47.1413423 47.1422351 45.991895 47.1769703 47.3780979 47.1769703 47.3788108 47.1769703 47.1769703 47.3853906 47.1769703 47.1769703 47.4129509 47.412422 47.4119782 47.412192700000006 47.411723200000004 47.41138917345159
4;4;8.551789694547853 8.5514179 8.5518556 8.551789694547853;47.41138917345159 47.4113438 47.411015899999995 47.41138917345159
4;4;8.551789694547853 8.5515916 8.551789694547853;47.41138917345159 47.411396 47.41138917345159
4;4;8.551789694547853 8.551702800000001 8.5517597 8.5518871 8.5517754 8.5516845 8.551789694547853;47.41138917345159 47.4118805 47.411579100000004 47.4109638 47.411399100000004 47.411588200000004 47.41138917345159
4;4;8.551789694547853 8.5518871 8.5517531 8.5501076 8.5471977 8.5449965 8.551789694547853;47.41138917345159 47.4109638 47.4109622 47.412228799999994 47.4121552 47.4119069 47.41138917345159
4;1;8.551789694547853 8.536514500000001 8.5383981 8.538856599999999 8.5384989 8.5637545 8.564519500000001 8.561140199999999 8.5157867 8.515108099999999 8.4814576 8.4503334 8.4325146 8.440057800000002 8.465774 8.4627675 8.4499484 8.443303 8.561140199999999 8.561140199999999 8.4346164083627;47.41138917345159 47.3784602 47.378097 47.37793679999999 47.3780376 47.2963991 47.295891600000004 47.3000266 47.174826 47.1738588 47.1815846 47.1658943 47.14224960000001 47.1405859 47.1359381 47.1198226 47.1062605 47.0894203 47.3000266 47.3000266 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4350308 8.413526699999998 8.3961424 8.4348091 8.3673982 8.364912599999998 8.363195900000001 8.361938799999999 8.361951 8.3619502 8.360512400000001 8.3593909 8.3593272 8.359492 8.3594864 8.359919999999999 8.359487 8.358741499999999 8.3585314 8.3597806 8.3597806 8.3640683 8.3640963 8.371606 8.383423700000002 8.434955699999998 8.4346164083627;47.08617838693552 47.086721600000004 47.089580700000006 47.0821823 47.0865217 47.0970965 47.096135 47.095070799999995 47.0943859 47.09439520000001 47.0943946 47.093648200000004 47.093017100000004 47.09362479999999 47.094648600000006 47.0946507 47.09387279999999 47.0946516 47.093340999999995 47.0928977 47.092875 47.092875 47.0954852 47.0954605 47.1003695 47.086572600000004 47.086155299999994 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.4346164083627;47.08617838693552 47.08617838693552
1;1;8.4346164083627 8.434568800000001 8.4346164083627;47.08617838693552 47.0861655 47.08617838693552
1;1;8.4346164083627 8.4387574 8.4024412 8.4007985 8.3998655 8.3990009 8.3972036 8.3950617 8.3925496 8.390815 8.3883973 8.4000403 8.3929623 8.3929623 8.3936947 8.393791499999999 8.3895515 8.3895515 8.388815199999998 8.3929618 8.3862591 8.3862591 8.3747249 8.3770151 8.388637699999999 8.388637699999999 8.412308099999999 8.4346164083627;47.08617838693552 47.087148799999994 47.088650200000004 47.0875516 47.085975899999994 47.084089 47.0827054 47.0812853 47.080167100000004 47.080037 47.0819318 47.088474600000005 47.1157692 47.1157692 47.1156685 47.1156814 47.115294399999996 47.115294399999996 47.115348600000004 47.115793599999996 47.111281299999995 47.111281299999995 47.1035823 47.105894299999996 47.114748600000006 47.114748600000006 47.0890592 47.08617838693552
1;5;8.4346164083627 8.4369166 8.435793499999999 8.4375097 8.439194 8.439880699999998 8.4409808 8.440800380026655;47.08617838693552 47.0834524 47.0839673 47.08309570000001 47.0820802 47.0817826 47.0810405 47.08086369635324
5;5;8.440800380026655 8.440800380026655;47.08086369635324 47.08086369635324
5;5;8.440800380026655 8.440930400000001 8.441091 8.440800380026655;47.08086369635324 47.08103 47.081146000000004 47.08086369635324
5;5;8.440800380026655 8.440800380026655;47.08086369635324 47.08086369635324
5;1;8.440800380026655 8.4402326 8.438166 8.436402699999999 8.4353504 8.4339062 8.4346164083627;47.08086369635324 47.0818028 47.0825732 47.0836581 47.0849157 47.085271399999996 47.08617838693552
1;1;8.4346164083627 8.4348091 8.4395565 8.477295699999999 8.4774934 8.4773427 8.4766251 8.4778694 8.4728321 8.4720554 8.4366761 8.436493800000001 8.4368506 8.4368506 8.434657099999999 8.4346164083627;47.08617838693552 47.0865217 47.1453219 47.186974600000006 47.1870065 47.1869796 47.186003 47.1873569 47.1881923 47.186193599999996 47.0859653 47.085993200000004 47.0859594 47.0859594 47.0861679 47.08617838693552
