origin;destination;count;waypointsLong;waypointsLat
12;16;1;8.460571 8.4569371 8.456189199999999 8.460631 8.4619949 8.4397747 8.4258699 8.4260563 8.428668193548386;47.39831194 47.3987862 47.3990771 47.3982102 47.4011872 47.4022931 47.39480379999999 47.3940668 47.392576483064516
5;6;1;8.45618101496828 8.4647898303125;47.39906608068079 47.3926001303125
6;5;1;8.4647898303125 8.4654178 8.45618101496828;47.3926001303125 47.39581939999999 47.39906608068079
7;3;1;8.447412743333334 8.4558561 8.448184 8.4484285 8.448055199999999 8.447737 8.4477896 8.4492448 8.4551716 8.468814199999999 8.481219 8.498556800000001 8.499841443064994;47.398479249999994 47.3990661 47.3973147 47.4009237 47.4018089 47.407872499999996 47.408974900000004 47.4105354 47.411699 47.4070637 47.4062739 47.4209875 47.421013358780385
3;1;1;8.499841443064994 8.4967735 8.495374 8.5017104 8.507292800000002 8.507412548555335;47.421013358780385 47.4186506 47.4137593 47.408663 47.4076299 47.40839137110055
1;1;1;8.507412548555335 8.5070844 8.507263 8.5073025 8.507412548555335;47.40839137110055 47.408445799999996 47.4081114 47.4087386 47.40839137110055
1;3;1;8.507412548555335 8.5057398 8.4988843 8.499841443064994;47.40839137110055 47.408244700000004 47.420067100000004 47.421013358780385
3;7;1;8.499841443064994 8.4897668 8.4440689 8.447412743333334;47.421013358780385 47.426276200000004 47.4158156 47.398479249999994
7;8;1;8.447412743333334 8.439344300000002 8.437833 8.445704 8.4303468 8.426651912499999;47.398479249999994 47.3966078 47.3959638 47.39830560000001 47.39290220000001 47.3804596775
8;3;1;8.426651912499999 8.4261732 8.4204258 8.499841443064994;47.3804596775 47.3829777 47.397766299999994 47.421013358780385
3;1;1;8.499841443064994 8.507537 8.4987668 8.4985479 8.4973038 8.495632 8.501750900000001 8.5073059 8.5077168 8.507412548555335;47.421013358780385 47.419377399999995 47.4210505 47.419951399999995 47.4185299 47.4139165 47.4087848 47.4076914 47.409116 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5082189 8.507412548555335;47.40839137110055 47.407629 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5048984 8.4960421 8.499841443064994;47.40839137110055 47.408623999999996 47.4138541 47.421013358780385
3;3;1;8.499841443064994 8.5008526 8.499841443064994;47.421013358780385 47.421137200000004 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.504827800000001 8.5011662 8.499841443064994;47.421013358780385 47.420604600000004 47.421091600000004 47.421013358780385
3;3;1;8.499841443064994 8.4990581 8.496433 8.5025828 8.5042845 8.4987769 8.499841443064994;47.421013358780385 47.4192404 47.417841700000004 47.4086018 47.4089174 47.4200485 47.421013358780385
3;14;1;8.499841443064994 8.507097300000002 8.54506082;47.421013358780385 47.4203398 47.41801848
14;15;1;8.54506082 8.537378544736843;47.41801848 47.37735474736843
15;3;1;8.537378544736843 8.5396888 8.526094 8.510577099999999 8.537786599999999 8.5490555 8.499841443064994;47.37735474736843 47.3780765 47.3825135 47.3879207 47.4073257 47.4155067 47.421013358780385
3;3;1;8.499841443064994 8.505680499999999 8.499841443064994;47.421013358780385 47.420394099999996 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
15;15;1;8.537378544736843 8.537378544736843;47.37735474736843 47.37735474736843
3;1;1;8.499841443064994 8.501615199999998 8.5035459 8.5033851 8.5048719 8.507412548555335;47.421013358780385 47.4199205 47.41866029999999 47.4168761 47.410753299999996 47.40839137110055
1;3;1;8.507412548555335 8.5021501 8.496525300000002 8.498360400000001 8.499841443064994;47.40839137110055 47.4130528 47.417669000000004 47.4190238 47.421013358780385
3;12;1;8.499841443064994 8.4946331 8.482920300000002 8.4585942 8.4611682 8.460571;47.421013358780385 47.412223100000006 47.415934899999996 47.4040118 47.3986349 47.39831194
12;3;1;8.460571 8.4611028 8.458180300000002 8.4614819 8.4653787 8.4682264 8.4725044 8.4801912 8.4831814 8.4910711 8.4970955 8.499841443064994;47.39831194 47.398393 47.402187100000006 47.408771200000004 47.4104152 47.4121294 47.4128584 47.414499 47.4164465 47.411368100000004 47.4181843 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;1;1;8.499841443064994 8.497574199999999 8.4961156 8.498076300000001 8.507412548555335;47.421013358780385 47.4187294 47.4178297 47.410760499999995 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.504780300000002 8.499841443064994;47.40839137110055 47.4086902 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.498815400000002 8.499841443064994;47.421013358780385 47.4230665 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;5;1;8.499841443064994 8.4974684 8.4702586 8.461794300000001 8.45618101496828;47.421013358780385 47.4187236 47.412687 47.399576700000004 47.39906608068079
5;3;1;8.45618101496828 8.499841443064994;47.39906608068079 47.421013358780385
3;1;1;8.499841443064994 8.5032969 8.503464300000001 8.5045026 8.507412548555335;47.421013358780385 47.4188098 47.4168844 47.410942600000006 47.40839137110055
1;1;1;8.507412548555335 8.5070886 8.507412548555335;47.40839137110055 47.4084511 47.40839137110055
3;8;1;8.499841443064994 8.4891995 8.4191856 8.426651912499999;47.421013358780385 47.4261506 47.3894105 47.3804596775
8;3;1;8.426651912499999 8.499841443064994;47.3804596775 47.421013358780385
3;1;1;8.499841443064994 8.498492800000001 8.4990163 8.504138000000001 8.507412548555335;47.421013358780385 47.4209495 47.4193514 47.408813200000004 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5088953 8.499841443064994;47.40839137110055 47.4073174 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.525861599999999 8.531095800000001 8.534142 8.5069182 8.499841443064994;47.421013358780385 47.38860570000001 47.397176 47.4040694 47.4190088 47.421013358780385
3;12;1;8.499841443064994 8.4732029 8.479273599999999 8.4782814 8.4478371 8.460571;47.421013358780385 47.4250531 47.415403600000005 47.4054119 47.403804 47.39831194
12;6;1;8.460571 8.4647898303125;47.39831194 47.3926001303125
6;3;1;8.4647898303125 8.462017699999999 8.452189 8.48122 8.4816066 8.469492 8.499841443064994;47.3926001303125 47.399891700000005 47.41224329999999 47.405491600000005 47.413431 47.4289799 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;5;1;8.499841443064994 8.497070800000001 8.4954216 8.4832299 8.4627659 8.456677699999998 8.45905 8.4562131 8.45618101496828;47.421013358780385 47.418312 47.413816499999996 47.416656700000004 47.409354 47.4017999 47.3992955 47.398977200000004 47.39906608068079
5;9;1;8.45618101496828 8.4561394 8.4618748 8.459795100000001 8.463437778571429;47.39906608068079 47.3990078 47.4013689 47.4076791 47.409025553571425
9;3;1;8.463437778571429 8.465042 8.466538400000001 8.4679424 8.4727117 8.481464599999999 8.4930044 8.498471 8.499841443064994;47.409025553571425 47.410206099999996 47.411846000000004 47.4120728 47.4129375 47.4148445 47.41307379999999 47.420905 47.421013358780385
3;1;1;8.499841443064994 8.4969565 8.495202800000001 8.5068372 8.507412548555335;47.421013358780385 47.4183559 47.413187 47.407523499999996 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.508550300000001 8.510138099999999 8.508662 8.5060992 8.5066288 8.507412548555335;47.40839137110055 47.4076824 47.407315000000004 47.4077389 47.4077166 47.408466499999996 47.40839137110055
1;1;1;8.507412548555335 8.5069175 8.507665300000001 8.507412548555335;47.40839137110055 47.4083999 47.4091912 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5028383 8.499841443064994;47.40839137110055 47.409053 47.421013358780385
1;1;1;8.507412548555335 8.5070114 8.505557699999999 8.5043963 8.5072771 8.5101254 8.5090989 8.507412548555335;47.40839137110055 47.4079888 47.407519 47.4081915 47.408137700000005 47.4083096 47.4079919 47.40839137110055
1;3;1;8.507412548555335 8.5067769 8.499255400000001 8.499841443064994;47.40839137110055 47.407650200000006 47.4097885 47.421013358780385
3;1;1;8.499841443064994 8.49975 8.5023966 8.5041292 8.504930499999999 8.507412548555335;47.421013358780385 47.4204453 47.4192838 47.4179804 47.4105721 47.40839137110055
3;1;1;8.499841443064994 8.496812599999998 8.502423599999998 8.507412548555335;47.421013358780385 47.418114700000004 47.4086109 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
15;1;1;8.537378544736843 8.5384441 8.539780300000002 8.5406638 8.542048199999998 8.539183999999999 8.533256199999999 8.510159199999999 8.507412548555335;47.37735474736843 47.3776602 47.3780391 47.3777542 47.3784974 47.3930964 47.398939500000004 47.399957799999996 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5074625 8.5083755 8.506808900000001 8.499841443064994;47.40839137110055 47.4076801 47.4091795 47.416398799999996 47.421013358780385
3;3;1;8.499841443064994 8.499542800000002 8.499841443064994;47.421013358780385 47.4214865 47.421013358780385
3;11;1;8.499841443064994 8.5001394 8.419282699999998 8.448782099999999 8.470946099999999 8.4324553 8.4517116 8.4469096 8.434878688690477;47.421013358780385 47.421287 47.3962492 47.2513737 47.212173799999995 47.1643415 47.1091066 47.090973999999996 47.08599443785714
11;11;1;8.434878688690477 8.436044699999998 8.434878688690477;47.08599443785714 47.083811600000004 47.08599443785714
6;5;1;8.4647898303125 8.4645631 8.4606101 8.4562149 8.45618101496828;47.3926001303125 47.392514299999995 47.3977966 47.398996999999994 47.39906608068079
3;1;1;8.499841443064994 8.498837400000001 8.4962659 8.507412548555335;47.421013358780385 47.4201014 47.4177984 47.40839137110055
1;10;1;8.507412548555335 8.504604800000001 8.4985408 8.496100969999999;47.40839137110055 47.405064700000004 47.402086499999996 47.40243909
10;1;1;8.496100969999999 8.497686999999999 8.503601 8.5076913 8.507412548555335;47.40243909 47.402012899999995 47.4043439 47.409158000000005 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5085852 8.507412548555335;47.40839137110055 47.407823799999996 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;5;1;8.507412548555335 8.4985465 8.4985266 8.498498199999998 8.498600900000001 8.4986442 8.4978614 8.497104199999999 8.495918 8.495852099999999 8.493414300000001 8.4885872 8.4869084 8.483016000000001 8.4803594 8.472748800000002 8.4654631 8.4603732 8.458392100000001 8.4583307 8.462372 8.458131800000002 8.4563095 8.45618101496828;47.40839137110055 47.420876 47.4209641 47.4209376 47.4211706 47.420177 47.4189962 47.418279 47.417413399999994 47.41484439999999 47.4130374 47.4124475 47.4157701 47.4173671 47.41457 47.412929299999995 47.4104369 47.4082901 47.4037026 47.401764799999995 47.4004277 47.399130299999996 47.3989043 47.39906608068079
5;16;1;8.45618101496828 8.456474400000001 8.454899900000001 8.4489754 8.4422779 8.439353599999999 8.434745199999998 8.428668193548386;47.39906608068079 47.399648299999996 47.398807 47.397901399999995 47.397197 47.3965945 47.3955068 47.392576483064516
5;9;1;8.45618101496828 8.456335099999999 8.4567718 8.461402699999999 8.4619966 8.4566281 8.4595871 8.461175 8.463437778571429;47.39906608068079 47.3988789 47.3989086 47.398534600000005 47.4012884 47.4024275 47.4065527 47.408767600000004 47.409025553571425
9;3;1;8.463437778571429 8.4636475 8.4660183 8.466604199999999 8.4676398 8.468819300000002 8.4716607 8.474669300000002 8.4776691 8.4798808 8.482030300000002 8.4831855 8.483394800000001 8.4782456 8.4787362 8.4836941 8.488752400000001 8.4944514 8.4988137 8.4986882 8.4984766 8.4985063 8.4984796 8.4984263 8.498460099999999 8.498477900000001 8.499841443064994;47.409025553571425 47.4096675 47.4110283 47.4119097 47.4120806 47.4122876 47.4127539 47.413139 47.413670700000004 47.4143757 47.415743400000004 47.41756229999999 47.4198295 47.42311420000001 47.42601320000001 47.4248523 47.4236641 47.4228321 47.421884399999996 47.420963 47.4209271 47.4209521 47.4209 47.4208604 47.420908000000004 47.420955799999994 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;1;1;8.499841443064994 8.499145 8.4963604 8.495181500000001 8.502170399999999 8.5071188 8.507412548555335;47.421013358780385 47.41935720000001 47.417662 47.4131425 47.4084788 47.4077597 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5066511 8.5066359 8.50652 8.507412548555335;47.40839137110055 47.4085479 47.4085573 47.408523100000004 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;8;1;8.507412548555335 8.4975906 8.4969204 8.498581399999999 8.4941366 8.4205252 8.426651912499999;47.40839137110055 47.411406799999995 47.4180511 47.421037 47.4255086 47.399608799999996 47.3804596775
8;3;1;8.426651912499999 8.4189251 8.499841443064994;47.3804596775 47.3897314 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;1;1;8.499841443064994 8.5045398 8.506612400000002 8.506668 8.5065038 8.507412548555335;47.421013358780385 47.41972 47.4192482 47.419065100000005 47.40822120000001 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.4976365 8.496784199999999 8.5035647 8.5049186 8.507412548555335;47.40839137110055 47.4188055 47.416839700000004 47.4097365 47.4097229 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5052433 8.5025893 8.5028397 8.503703100000001 8.501729300000001 8.499841443064994;47.40839137110055 47.409842499999996 47.4155539 47.4171943 47.4182821 47.4197529 47.421013358780385
3;16;1;8.499841443064994 8.4972644 8.496941900000001 8.4970422 8.4942053 8.4766838 8.469494000000001 8.4799144 8.477683599999999 8.4567696 8.4481269 8.4348313 8.428668193548386;47.421013358780385 47.4258105 47.4256027 47.4256548 47.4256904 47.4385583 47.42977929999999 47.4153012 47.4052151 47.4112814 47.409117200000004 47.4010429 47.392576483064516
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.502410300000001 8.500810000000001 8.497883199999999 8.4984629 8.496702599999999 8.4942877 8.4953971 8.4985103 8.497228699999999 8.496025 8.499841443064994;47.421013358780385 47.420869200000006 47.4226315 47.4239661 47.4261361 47.4296423 47.430982 47.4278666 47.4263443 47.423812 47.422518 47.421013358780385
3;5;1;8.499841443064994 8.4974503 8.495043800000001 8.4830438 8.4585569 8.4614812 8.4593515 8.45618101496828;47.421013358780385 47.41854420000001 47.4129713 47.417536299999995 47.4040424 47.3989723 47.399239 47.39906608068079
5;9;1;8.45618101496828 8.4585384 8.4570746 8.463437778571429;47.39906608068079 47.3992865 47.4023611 47.409025553571425
9;3;1;8.463437778571429 8.4665117 8.4704134 8.476430699999998 8.481774099999999 8.4957869 8.499841443064994;47.409025553571425 47.4118874 47.41255579999999 47.4133516 47.4157849 47.4136234 47.421013358780385
3;1;1;8.499841443064994 8.505947 8.5050987 8.507412548555335;47.421013358780385 47.4192174 47.40881629999999 47.40839137110055
