origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
1;2;2;8.472291186666666 8.474535343333333 8.4861918 8.486438678571428;47.387387109047616 47.386131804523814 47.386795899999996 47.387807835714284;47.3872428820808 47.3878200995465;8.46961320882067 8.48739001400738
2;3;2;8.486438678571428 8.486389500000001 8.4869412;47.387807835714284 47.38792115 47.3895771;47.3878200995465 47.3895966511737;8.48739001400738 8.4870332106698
3;1;2;8.4869412 8.486438499999998 8.472291186666666;47.3895771 47.38793665 47.387387109047616;47.3895966511737 47.3872428820808;8.4870332106698 8.46961320882067
1;4;2;8.472291186666666 8.472217743333335 8.472074899999999 8.4700644;47.387387109047616 47.38843085452381 47.3875065 47.38707256666667;47.3872428820808 47.38698346193;8.46961320882067 8.46892272343371
1;5;2;8.472291186666666 8.47226955 8.4751058;47.387387109047616 47.387539149999995 47.38561375;47.3872428820808 47.3840091556552;8.46961320882067 8.47279610344529
