,name,dist,distPerc,co2km,co2Total,co2Perc
0,by Car,453.728,0.696,0.133,60.34582400000001,0.9394
2,by Bus,32.314,0.0496,0.069,2.2296660000000004,0.0347
3,by Train,23.368,0.0358,0.065,1.51892,0.0236
5,by Tram,3.507,0.0054,0.042,0.147294,0.0023
1,by Bike,114.385,0.1755,0.0,0.0,0.0
4,Walking,22.55,0.0346,0.0,0.0,0.0
6,Running,2.055,0.0032,0.0,0.0,0.0
