origin;destination;waypointsLong;waypointsLat
1;2;8.498921160491735 8.505916699999998 8.5140498 8.5272856 8.5349387 8.532554300000001 8.5431228 8.54249342808642;47.42123444470936 47.4185078 47.415364399999994 47.4102516 47.402974799999996 47.3975657 47.3839519 47.38171017129629
2;2;8.54249342808642 8.5421146 8.5423147 8.54249342808642;47.38171017129629 47.381343799999996 47.3806969 47.38171017129629
2;3;8.54249342808642 8.5423538 8.543610800000002 8.5399832 8.534612 8.5331751 8.535416725;47.38171017129629 47.3819745 47.38036629999999 47.3770563 47.3785208 47.3790102 47.37864110000001
3;3;8.535416725 8.535416725;47.37864110000001 47.37864110000001
3;2;8.535416725 8.534603 8.5329617 8.5351598 8.5362321 8.5337104 8.534995599999998 8.5432326 8.54249342808642;47.37864110000001 47.3785344 47.3788154 47.378285600000005 47.378530600000005 47.37878320000001 47.3760614 47.376734899999995 47.38171017129629
2;3;8.54249342808642 8.5335435 8.535416725;47.38171017129629 47.3783747 47.37864110000001
3;3;8.535416725 8.535416725;47.37864110000001 47.37864110000001
3;2;8.535416725 8.534753 8.533133300000001 8.5343867 8.535431800000001 8.543393199999999 8.54249342808642;47.37864110000001 47.3784518 47.37895 47.3785357 47.3762013 47.376786100000004 47.38171017129629
2;1;8.54249342808642 8.542655400000001 8.540682400000001 8.5384173 8.5339735 8.5346296 8.528485400000001 8.520466 8.516338000000001 8.508200599999999 8.507579199999999 8.498921160491735;47.38171017129629 47.3848051 47.3883345 47.393562700000004 47.3985135 47.4034022 47.4094644 47.4138135 47.414846000000004 47.4203343 47.4197171 47.42123444470936
1;1;8.498921160491735 8.498921160491735;47.42123444470936 47.42123444470936
1;1;8.498921160491735 8.498921160491735;47.42123444470936 47.42123444470936
1;1;8.498921160491735 8.4984794 8.5079166 8.5134776 8.5230347 8.533445 8.5429429 8.5440891 8.5426319 8.5406714 8.5332297 8.5261816 8.518595 8.512062 8.5065727 8.500290300000001 8.498921160491735;47.42123444470936 47.4210333 47.419618799999995 47.4167499 47.413667499999995 47.4109292 47.4115772 47.411181799999994 47.4117101 47.4108988 47.4111354 47.412332899999996 47.4151296 47.41744979999999 47.420030499999996 47.421370399999994 47.42123444470936
1;1;8.498921160491735 8.498921160491735;47.42123444470936 47.42123444470936
1;1;8.498921160491735 8.499855199999999 8.50256 8.504080499999999 8.506029 8.5043796 8.502559 8.498921160491735;47.42123444470936 47.420362299999994 47.4193719 47.4179679 47.4190665 47.4197068 47.420398399999996 47.42123444470936
1;1;8.498921160491735 8.498921160491735;47.42123444470936 47.42123444470936
1;1;8.498921160491735 8.497980499999999 8.4970054 8.495871000000001 8.494216400000001 8.4891166 8.4853002 8.486112400000001 8.4869284 8.4886961 8.4923835 8.496068199999998 8.497688900000002 8.499134100000001 8.5009935 8.501167599999999 8.5009209 8.4987675 8.4959007 8.4990059 8.498921160491735;47.42123444470936 47.41886029999999 47.418069 47.4170322 47.4185795 47.420016600000004 47.4203771 47.417816200000004 47.415306 47.4128628 47.4128473 47.412642600000005 47.41028970000001 47.4083749 47.4090955 47.411626 47.4141807 47.4163586 47.4172481 47.4191758 47.42123444470936
1;1;8.498921160491735 8.5423788 8.5422323 8.538933199999999 8.5343648 8.534163099999999 8.533408999999999 8.5229225 8.5160676 8.5077837 8.5082769 8.502818 8.498921160491735;47.42123444470936 47.381926299999996 47.385432 47.3921393 47.3963444 47.4010245 47.404833 47.4127089 47.4149477 47.4192985 47.420467200000004 47.4206104 47.42123444470936
1;4;8.498921160491735 8.4985183 8.5120796 8.5285242 8.532833300000002 8.532540800000001 8.5421063 8.5426106 8.5439595 8.5422383 8.590520199999998 8.6731231 8.710906300000001 8.712864100000001 8.7038869 8.7048313 8.7033501 8.704347300000002 8.703008 8.704253900000001 8.7042365 8.704048716666668;47.42123444470936 47.42100000000001 47.4161073 47.409623700000004 47.405296899999996 47.3978573 47.3858716 47.3818146 47.38118060000001 47.3987515 47.4078205 47.3867469 47.3610382 47.3544047 47.3468771 47.3481294 47.34769489999999 47.347050700000004 47.3466691 47.3475559 47.3468102 47.34692083333332
4;4;8.704048716666668 8.704048716666668;47.34692083333332 47.34692083333332
